ID,gender,location,exp,YOT,MOT,DOT,YOB,MOB,DOB,age.months,age.yrs,age,eng.mono,langs,concept.type,list,question.number,Order,trial type,label,triad.type,regularity,animacy,superordinate.match,direction,sequence,exclude,comments
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,A,,training,yes,,,,1,L,1,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,B,,training,no,,,,1,L,1,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,1,1,critical,no,chicken,,,0,R,2,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,5,2,critical,yes,glass,,,0,L,1,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,9,3,critical,no,horse,,,0,R,2,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,2,4,critical,yes,chicken,,,0,L,1,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,6,5,critical,no,glass,,,1,L,1,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,10,6,critical,yes,horse,,,0,L,1,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,3,7,critical,no,chicken,,,0,R,2,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,7,8,critical,yes,glass,,,1,R,2,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,11,9,critical,no,horse,,,0,R,2,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,4,10,critical,yes,chicken,,,0,L,1,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,8,11,critical,no,glass,,,0,R,2,no,
L120515-CB,F,MUS,PP,2015,12,5,2011,12,8,47.90136986,3.991780822,3,No,"english, spanish",Non-Polysemous,1B,12,12,critical,yes,horse,,,0,L,1,no,
L120515-CF,M,MUS,PP,2015,12,5,2012,5,12,42.76986301,3.564155251,3,Yes,0,Non-Polysemous,1A Backwards,A,,training,yes,,,,0,R,2,no,
L120515-CF,M,MUS,PP,2015,12,5,2012,5,12,42.76986301,3.564155251,3,Yes,0,Non-Polysemous,1A Backwards,B,,training,no,,,,0,R,2,no,
L120515-CF,M,MUS,PP,2015,12,5,2012,5,12,42.76986301,3.564155251,3,Yes,0,Non-Polysemous,1A Backwards,12,1,critical,no,horse,,,1,R,1,no,
L120515-CF,M,MUS,PP,2015,12,5,2012,5,12,42.76986301,3.564155251,3,Yes,0,Non-Polysemous,1A Backwards,8,2,critical,yes,glass,,,1,L,2,no,
L120515-CF,M,MUS,PP,2015,12,5,2012,5,12,42.76986301,3.564155251,3,Yes,0,Non-Polysemous,1A Backwards,4,3,critical,no,chicken,,,1,R,1,no,
L120515-CF,M,MUS,PP,2015,12,5,2012,5,12,42.76986301,3.564155251,3,Yes,0,Non-Polysemous,1A Backwards,11,4,critical,yes,horse,,,1,L,2,no,
L120515-CF,M,MUS,PP,2015,12,5,2012,5,12,42.76986301,3.564155251,3,Yes,0,Non-Polysemous,1A Backwards,7,5,critical,no,glass,,,0,L,2,no,
L120515-CF,M,MUS,PP,2015,12,5,2012,5,12,42.76986301,3.564155251,3,Yes,0,Non-Polysemous,1A Backwards,3,6,critical,yes,chicken,,,1,L,2,no,
