ID,gender,location,exp,YOT,MOT,DOT,YOB,MOB,DOB,age.months,age.yrs,age,eng.mono,langs,concept.type,list,question.number,Order,trial type,label,triad.type,regularity,animacy,superordinate.match,direction,sequence,exclude,comments
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,A,,training,yes,,,,,,,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,B,,training,no,,,,,,,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,12,1,critical,no,horse,regular,animate,1,L,1,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,8,2,critical,yes,glass,irregular,inanimate,1,R,2,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,4,3,critical,no,chicken,regular,animate,1,L,,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,11,4,critical,yes,horse,regular,animate,1,R,2,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,7,5,critical,no,glass,irregular,inanimate,1,L,1,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,3,6,critical,yes,chicken,regular,animate,1,R,2,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,10,7,critical,no,horse,regular,animate,1,L,1,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,6,8,critical,yes,glass,irregular,inanimate,0,L,1,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,2,9,critical,no,chicken,regular,animate,1,L,1,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,9,10,critical,yes,horse,regular,animate,1,R,2,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,5,11,critical,no,glass,irregular,inanimate,1,L,1,no,
B34-081916-KG,F,LAB,AR,2016,8,19,1994,11,28,260.7041096,21.72534247,21,Yes,Eng,Polysemous,1A Backwards,1,12,critical,yes,chicken,regular,animate,0,L,1,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,A,,training,yes,,,,,,,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,B,,training,no,,,,,,,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,1,1,critical,yes,chicken,regular,animate,1,L,1,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,5,2,critical,no,glass,irregular,inanimate,0,L,1,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,9,3,critical,yes,horse,regular,animate,1,R,1,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,2,4,critical,no,chicken,regular,animate,1,R,2,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,6,5,critical,yes,glass,irregular,inanimate,0,R,2,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,10,6,critical,no,horse,regular,animate,0,R,1,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,3,7,critical,yes,chicken,regular,animate,0,R,2,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,7,8,critical,no,glass,irregular,inanimate,0,R,1,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,11,9,critical,yes,horse,regular,animate,1,L,1,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,4,10,critical,no,chicken,regular,animate,1,R,2,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,8,11,critical,yes,glass,irregular,inanimate,1,R,1,no,
B34-081716-GM,F,LAB,AR,2016,8,17,1986,9,4,359.4273973,29.95228311,29,Yes,Eng,Non-Polysemous,1A,12,12,critical,no,horse,regular,animate,1,R,2,no,
B34-081616-JS,F,LAB,AR,2016,8,16,1992,6,12,290.1315068,24.17762557,24,Yes,Eng,Polysemous,1B Backwards,A,,training,yes,,,,,,,no,
B34-081616-JS,F,LAB,AR,2016,8,16,1992,6,12,290.1315068,24.17762557,24,Yes,Eng,Polysemous,1B Backwards,B,,training,no,,,,,,,no,
B34-081616-JS,F,LAB,AR,2016,8,16,1992,6,12,290.1315068,24.17762557,24,Yes,Eng,Polysemous,1B Backwards,12,1,critical,yes,horse,regular,animate,1,L,1,no,
B34-081616-JS,F,LAB,AR,2016,8,16,1992,6,12,290.1315068,24.17762557,24,Yes,Eng,Polysemous,1B Backwards,8,2,critical,no,glass,irregular,inanimate,1,R,2,no,
B34-081616-JS,F,LAB,AR,2016,8,16,1992,6,12,290.1315068,24.17762557,24,Yes,Eng,Polysemous,1B Backwards,4,3,critical,yes,chicken,regular,animate,1,L,1,no,
B34-081616-JS,F,LAB,AR,2016,8,16,1992,6,12,290.1315068,24.17762557,24,Yes,Eng,Polysemous,1B Backwards,11,4,critical,no,horse,regular,animate,1,R,2,no,
B34-081616-JS,F,LAB,AR,2016,8,16,1992,6,12,290.1315068,24.17762557,24,Yes,Eng,Polysemous,1B Backwards,7,5,critical,yes,glass,irregular,inanimate,1,L,,no,
B34-081616-JS,F,LAB,AR,2016,8,16,1992,6,12,290.1315068,24.17762557,24,Yes,Eng,Polysemous,1B Backwards,3,6,critical,no,chicken,regular,animate,1,R,2,no,
B34-081616-JS,F,LAB,AR,2016,8,16,1992,6,12,290.1315068,24.17762557,24,Yes,Eng,Polysemous,1B Backwards,10,7,critical,yes,horse,regular,animate,1,L,1,no,
B34-081616-JS,F,LAB,AR,2016,8,16,1992,6,12,290.1315068,24.17762557,24,Yes,Eng,Polysemous,1B Backwards,6,8,critical,no,glass,irregular,inanimate,1,R,2,no,
B34-081616-JS,F,LAB,AR,2016,8,16,1992,6,12,290.1315068,24.17762557,24,Yes,Eng,Polysemous,1B Backwards,2,9,critical,yes,chicken,regular,animate,1,L,1,no,
