ID,gender,location,exp,YOT,MOT,DOT,YOB,MOB,DOB,age.months,age.yrs,age,eng.mono,langs,concept.type,list,question.number,Order,trial type,label,triad.type,regularity,animacy,superordinate.match,direction,sequence,exclude,comments
EDIN-WS0512160PR,F,LAB-EDIN,AR,16,5,12,12,6,13,46.96712329,3.913926941,3,Yes,English,Non-Polysemous,1B,A,,training,yes,,,,,,,,
EDIN-WS0512160PR,F,LAB-EDIN,AR,16,5,12,12,6,13,46.96712329,3.913926941,3,Yes,English,Non-Polysemous,1B,B,,training,no,,,,,,,,
EDIN-WS0512160PR,F,LAB-EDIN,AR,16,5,12,12,6,13,46.96712329,3.913926941,3,Yes,English,Non-Polysemous,1B,1,1,critical,no,chicken,regular,animate,1,L,1,,
EDIN-WS0512160PR,F,LAB-EDIN,AR,16,5,12,12,6,13,46.96712329,3.913926941,3,Yes,English,Non-Polysemous,1B,5,2,critical,yes,glass,irregular,inanimate,0,L,1,,
EDIN-WS0512160PR,F,LAB-EDIN,AR,16,5,12,12,6,13,46.96712329,3.913926941,3,Yes,English,Non-Polysemous,1B,9,3,critical,no,horse,regular,animate,0,R,2,,
EDIN-WS0512160PR,F,LAB-EDIN,AR,16,5,12,12,6,13,46.96712329,3.913926941,3,Yes,English,Non-Polysemous,1B,2,4,critical,yes,chicken,regular,animate,1,R,2,,
EDIN-WS0512160PR,F,LAB-EDIN,AR,16,5,12,12,6,13,46.96712329,3.913926941,3,Yes,English,Non-Polysemous,1B,6,5,critical,no,glass,irregular,inanimate,1,L,1,,
EDIN-WS0512160PR,F,LAB-EDIN,AR,16,5,12,12,6,13,46.96712329,3.913926941,3,Yes,English,Non-Polysemous,1B,10,6,critical,yes,horse,regular,animate,1,R,2,,
EDIN-WS0512160PR,F,LAB-EDIN,AR,16,5,12,12,6,13,46.96712329,3.913926941,3,Yes,English,Non-Polysemous,1B,3,7,critical,no,chicken,regular,animate,1,L,1,,
EDIN-WS0512160PR,F,LAB-EDIN,AR,16,5,12,12,6,13,46.96712329,3.913926941,3,Yes,English,Non-Polysemous,1B,7,8,critical,yes,glass,irregular,inanimate,0,L,1,,
EDIN-WS0512160PR,F,LAB-EDIN,AR,16,5,12,12,6,13,46.96712329,3.913926941,3,Yes,English,Non-Polysemous,1B,11,9,critical,no,horse,regular,animate,1,L,1,,
EDIN-WS0512160PR,F,LAB-EDIN,AR,16,5,12,12,6,13,46.96712329,3.913926941,3,Yes,English,Non-Polysemous,1B,4,10,critical,yes,chicken,regular,animate,0,L,1,,
