SubjNo,gender,Location,Exp,YOT,MOT,DOT,YOB,MOB,DOB,Age.Months,Age.yrs,Age,Eng. Mono,langs,WordType,List,question.number,Order,trial type,LabelType,TriadType,regularity,animacy,Correct,UnrelatedChoice,Direction,Sequence ,Exclude,Comments,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,A,,training,Same Label,,,,Yes,0,R,2,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,B,,training,Different Label,,,,No,1,L,1,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,1,1,critical,Different Label,Chicken,,,No,1,L,1,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,5,2,critical,Same Label,Glass,,,No,1,R,2,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,9,3,critical,Different Label,Horse,,,Yes,0,R,2,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,2,4,critical,Same Label,Chicken,,,No,1,R,2,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,6,5,critical,Different Label,Glass,,,Yes,0,R,2,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,10,6,critical,Same Label,Horse,,,No,1,R,2,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,3,7,critical,Different Label,Chicken,,,Yes,0,R,2,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,7,8,critical,Same Label,Glass,,,No,1,R,2,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,11,9,critical,Different Label,Horse,,,Yes,0,R,2,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,4,10,critical,Same Label,Chicken,,,No,1,R,2,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,8,11,critical,Different Label,Glass,,,Yes,0,R,2,No,,
H061215-GM,F,MUS,JF,2015,6,12,2011,10,17,44,3.652968037,3,Yes,0,Non-Polysemous,1B,12,12,critical,Same Label,Horse,,,No,1,R,2,No,,
L061315-RB,F,MUS,PP,2015,6,13,2011,7,15,47,3.911187215,3,Yes,0,Polysemous,1A,A,,training,Same Label,,,,No,1,L,1,No,,
L061315-RB,F,MUS,PP,2015,6,13,2011,7,15,47,3.911187215,3,Yes,0,Polysemous,1A,B,,training,Different Label,,,,Yes,0,R,2,No,,
L061315-RB,F,MUS,PP,2015,6,13,2011,7,15,47,3.911187215,3,Yes,0,Polysemous,1A,1,1,critical,Same Label,Chicken,regular,animate,Yes,1,L,1,No,,
L061315-RB,F,MUS,PP,2015,6,13,2011,7,15,47,3.911187215,3,Yes,0,Polysemous,1A,5,2,critical,Different Label,Glass,irregular,inanimate,No,0,L,1,No,,
L061315-RB,F,MUS,PP,2015,6,13,2011,7,15,47,3.911187215,3,Yes,0,Polysemous,1A,9,3,critical,Same Label,Horse,regular,animate,No,0,R,2,No,,
L061315-RB,F,MUS,PP,2015,6,13,2011,7,15,47,3.911187215,3,Yes,0,Polysemous,1A,2,4,critical,Different Label,Chicken,regular,animate,Yes,1,R,2,No,,
