SubjNo,gender,Location,Exp,YOT,MOT,DOT,YOB,MOB,DOB,Age.Months,Age.yrs,Age,Eng. Mono,langs,WordType,List,question.number,Order,trial type,LabelType,TriadType,regularity,animacy,Correct,UnrelatedChoice,Direction,Sequence ,Exclude,Comments,Expln
1,M,Edinburgh ,,,,,,,,59,4.916666667,4,Yes,0,Non-Polysemous,1B,1,1,Critical,Different,Chicken,,,N,1,L,1,No,It's pretty,Expln
1,M,Edinburgh ,,,,,,,,59,4.916666667,4,Yes,0,Non-Polysemous,1B,5,2,Critical,Same,Glass,,,Y,0,L,1,No,it's shiny,Expln
1,M,Edinburgh ,,,,,,,,59,4.916666667,4,Yes,0,Non-Polysemous,1B,9,3,Critical,Different,Horse,,,Y,0,R,2,No,so it can go fast,Expln
1,M,Edinburgh ,,,,,,,,59,4.916666667,4,Yes,0,Non-Polysemous,1B,2,4,Critical,Same,Chicken,,,N,1,R,2,No,so it can have fresh air,Expln
1,M,Edinburgh ,,,,,,,,59,4.916666667,4,Yes,0,Non-Polysemous,1B,6,5,Critical,Different,Glass,,,N,1,L,1,No,because Mars is bigger,Expln
1,M,Edinburgh ,,,,,,,,59,4.916666667,4,Yes,0,Non-Polysemous,1B,10,6,Critical,Same,Horse,,,N,1,R,2,No,because it wags its tail when it's happy,Expln
1,M,Edinburgh ,,,,,,,,59,4.916666667,4,Yes,0,Non-Polysemous,1B,3,7,Critical,Different,Chicken,,,N,1,L,1,No,so it can have fresh air,Expln
1,M,Edinburgh ,,,,,,,,59,4.916666667,4,Yes,0,Non-Polysemous,1B,7,8,Critical,Same,Glass,,,Y,0,L,1,No,to keep the Glass safe,Expln
1,M,Edinburgh ,,,,,,,,59,4.916666667,4,Yes,0,Non-Polysemous,1B,11,9,Critical,Different,Horse,,,N,1,L,1,No,to keep the zebra comfy,Expln
1,M,Edinburgh ,,,,,,,,59,4.916666667,4,Yes,0,Non-Polysemous,1B,4,10,Critical,Same,Chicken,,,N,1,R,2,No,so it can run around outside,Expln
1,M,Edinburgh ,,,,,,,,59,4.916666667,4,Yes,0,Non-Polysemous,1B,8,11,Critical,Different,Glass,,,Y,0,R,2,No,to keep the Glass safe,Expln
1,M,Edinburgh ,,,,,,,,59,4.916666667,4,Yes,0,Non-Polysemous,1B,12,12,Critical,Same,Horse,,,N,1,R,2,No,it nearly has the same fur,Expln
2,M,Edinburgh ,,,,,,,,53,4.416666667,4,Yes,0,Polysemous,1A,1,1,Critical,Same,Chicken,Regular,Animate,N,0,R,2,No,,None
2,M,Edinburgh ,,,,,,,,53,4.416666667,4,Yes,0,Polysemous,1A,5,2,Critical,Different,Glass,Irregular,Inanimate,Y,1,R,2,No,,None
2,M,Edinburgh ,,,,,,,,53,4.416666667,4,Yes,0,Polysemous,1A,9,3,Critical,Same,Horse,Regular,Animate,N,0,R,2,No,,None
2,M,Edinburgh ,,,,,,,,53,4.416666667,4,Yes,0,Polysemous,1A,2,4,Critical,Different,Chicken,Regular,Animate,Y,1,R,2,No,,None
2,M,Edinburgh ,,,,,,,,53,4.416666667,4,Yes,0,Polysemous,1A,6,5,Critical,Same,Glass,Irregular,Inanimate,N,0,R,2,No,,None
2,M,Edinburgh ,,,,,,,,53,4.416666667,4,Yes,0,Polysemous,1A,10,6,Critical,Different,Horse,Regular,Animate,Y,1,R,2,No,,None
2,M,Edinburgh ,,,,,,,,53,4.416666667,4,Yes,0,Polysemous,1A,3,7,Critical,Same,Chicken,Regular,Animate,N,0,R,2,No,,None
2,M,Edinburgh ,,,,,,,,53,4.416666667,4,Yes,0,Polysemous,1A,8,8,Critical,Same,Glass,Irregular,Inanimate,N,0,L,1,No,,None
2,M,Edinburgh ,,,,,,,,53,4.416666667,4,Yes,0,Polysemous,1A,11,9,Critical,Same,Horse,Regular,Animate,Y,1,L,1,No,,None
2,M,Edinburgh ,,,,,,,,53,4.416666667,4,Yes,0,Polysemous,1A,4,10,Critical,Different,Chicken,Regular,Animate,Y,1,R,2,No,,None
2,M,Edinburgh ,,,,,,,,53,4.416666667,4,Yes,0,Polysemous,1A,7,11,Critical,Different,Glass,Irregular,Inanimate,Y,1,L,1,No,,None
2,M,Edinburgh ,,,,,,,,53,4.416666667,4,Yes,0,Polysemous,1A,12,12,Critical,Different,Horse,Regular,Animate,N,0,L,1,No,,None
3,M,Edinburgh ,,,,,,,,48,4,4,No,"Eng, German",Polysemous,1A Backwards,12,1,Critical,Different,Horse,Regular,Animate,N,0,R,2,No,pointed,Expln
3,M,Edinburgh ,,,,,,,,48,4,4,No,"Eng, German",Polysemous,1A Backwards,8,2,Critical,Same,Glass,Irregular,Inanimate,Y,1,R,2,No,,Expln
3,M,Edinburgh ,,,,,,,,48,4,4,No,"Eng, German",Polysemous,1A Backwards,4,3,Critical,Different,Chicken,Regular,Animate,N,0,R,2,No,it's got feathers (??),Expln
3,M,Edinburgh ,,,,,,,,48,4,4,No,"Eng, German",Polysemous,1A Backwards,11,4,Critical,Same,Horse,Regular,Animate,Y,1,R,2,No,idk,Expln
3,M,Edinburgh ,,,,,,,,48,4,4,No,"Eng, German",Polysemous,1A Backwards,7,5,Critical,Different,Glass,Irregular,Inanimate,Y,1,L,1,No,,Expln
3,M,Edinburgh ,,,,,,,,48,4,4,No,"Eng, German",Polysemous,1A Backwards,3,6,Critical,Same,Chicken,Regular,Animate,Y,1,R,2,No,because it's a Chicken (?),Expln
3,M,Edinburgh ,,,,,,,,48,4,4,No,"Eng, German",Polysemous,1A Backwards,10,7,Critical,Different,Horse,Regular,Animate,Y,1,L,1,No,idk,Expln
3,M,Edinburgh ,,,,,,,,48,4,4,No,"Eng, German",Polysemous,1A Backwards,6,8,Critical,Same,Glass,Irregular,Inanimate,Y,1,R,2,No,,Expln
3,M,Edinburgh ,,,,,,,,48,4,4,No,"Eng, German",Polysemous,1A Backwards,2,9,Critical,Different,Chicken,Regular,Animate,Y,1,L,1,No,,Expln
3,M,Edinburgh ,,,,,,,,48,4,4,No,"Eng, German",Polysemous,1A Backwards,9,10,Critical,Same,Horse,Regular,Animate,Y,1,R,1,No,,Expln
3,M,Edinburgh ,,,,,,,,48,4,4,No,"Eng, German",Polysemous,1A Backwards,5,11,Critical,Different,Glass,Irregular,Inanimate,Y,1,L,1,No,,Expln
3,M,Edinburgh ,,,,,,,,48,4,4,No,"Eng, German",Polysemous,1A Backwards,1,12,Critical,Same,Chicken,Regular,Animate,Y,1,R,2,No,idk,Expln
4,M,Edinburgh ,,,,,,,,48,4,4,Yes,0,Non-Polysemous,1B Backwards,12,1,Critical,Different,Horse,,,Y,0,R,2,No,b/c it has fur,Expln
4,M,Edinburgh ,,,,,,,,48,4,4,Yes,0,Non-Polysemous,1B Backwards,8,2,Critical,Same,Glass,,,N,1,R,2,No,to make different things,Expln
4,M,Edinburgh ,,,,,,,,48,4,4,Yes,0,Non-Polysemous,1B Backwards,4,3,Critical,Different,Chicken,,,N,1,L,1,No,it needs a drink,Expln
4,M,Edinburgh ,,,,,,,,48,4,4,Yes,0,Non-Polysemous,1B Backwards,11,4,Critical,Same,Horse,,,N,1,R,2,No,it looks like a zebra,Expln
4,M,Edinburgh ,,,,,,,,48,4,4,Yes,0,Non-Polysemous,1B Backwards,7,5,Critical,Different,Glass,,,Y,0,R,2,No,b/c they are tall (?),Expln
