Subject,YOB,MOB,DOB,Horse (Animal),Bayonet,Glass (Utensil),Car,Chicken (Animal),Cup,Doll,Drumstick (Food),Duck,Foal,Glass (Material),Gondola,Sock,Harpsichord,Hen,Horse (toy),Iodine,Ball,Lumber,Plastic,Rocker, Chicken (food),Spoon,Windowpane,Zebra
EDIN-WS051216-NMB,12,5,25,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Not sure,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Not sure,Yes
EDIN-WS051216-PR,12,6,13,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Not sure,Yes,No,Yes,No,Not sure,Not sure,Yes,Yes,Not sure,Yes
EDIN-WS051716-CB,12,10,7,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not sure,Yes,No,Yes,Yes,No,Yes,Not sure,Yes,Yes,Yes,Yes,No,Yes
EDIN-WS060416-RA,12,3,18,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Not sure,Yes,No,Yes
EDIN-WS060316-ES,12,5,16,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Not sure,Yes,No,Yes,Not sure,Yes,Yes,No,Yes,No,Not sure,Not sure,Yes,Yes,Not sure,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
